Entité,Année,Poste budgétaire,Montant alloué ($),Contexte économique,Justification
Entité_10,2021,Logement,1641103.19,Stable,Allocation de 1641103.19$ à Logement en raison du contexte stable.
Entité_10,2023,Loisirs,847433.43,Croissance,Allocation de 847433.43$ à Loisirs en raison du contexte croissance.
Entité_6,2023,Recherche,1785291.14,Récession,Allocation de 1785291.14$ à Recherche en raison du contexte récession.
Entité_4,2023,Santé,4881002.02,Stable,Allocation de 4881002.02$ à Santé en raison du contexte stable.
Entité_9,2020,Transport,2293262.01,Récession,Allocation de 2293262.01$ à Transport en raison du contexte récession.
Entité_3,2020,Sécurité,1625191.2,Récession,Allocation de 1625191.2$ à Sécurité en raison du contexte récession.
Entité_1,2022,Culture,1323760.41,Récession,Allocation de 1323760.41$ à Culture en raison du contexte récession.
Entité_8,2023,Santé,6215155.01,Croissance,Allocation de 6215155.01$ à Santé en raison du contexte croissance.
Entité_4,2020,Éducation,4593667.67,Croissance,Allocation de 4593667.67$ à Éducation en raison du contexte croissance.
Entité_9,2021,Recherche,2138345.32,Stable,Allocation de 2138345.32$ à Recherche en raison du contexte stable.
Entité_7,2019,Sécurité,2338405.42,Croissance,Allocation de 2338405.42$ à Sécurité en raison du contexte croissance.
Entité_7,2023,Transport,2805986.27,Stable,Allocation de 2805986.27$ à Transport en raison du contexte stable.
Entité_5,2019,Numérique,1211424.85,Stable,Allocation de 1211424.85$ à Numérique en raison du contexte stable.
Entité_3,2022,Transport,2116494.97,Croissance,Allocation de 2116494.97$ à Transport en raison du contexte croissance.
Entité_4,2021,Transport,2946182.62,Récession,Allocation de 2946182.62$ à Transport en raison du contexte récession.
Entité_3,2022,Environnement,1855024.27,Croissance,Allocation de 1855024.27$ à Environnement en raison du contexte croissance.
Entité_1,2021,Transport,2603575.65,Récession,Allocation de 2603575.65$ à Transport en raison du contexte récession.
Entité_8,2022,Logement,3011570.6,Récession,Allocation de 3011570.6$ à Logement en raison du contexte récession.
Entité_9,2021,Sécurité,2036634.3,Récession,Allocation de 2036634.3$ à Sécurité en raison du contexte récession.
Entité_5,2019,Développement économique,2530239.69,Stable,Allocation de 2530239.69$ à Développement économique en raison du contexte stable.
Entité_9,2019,Sécurité,1557072.19,Croissance,Allocation de 1557072.19$ à Sécurité en raison du contexte croissance.
Entité_3,2022,Environnement,1775790.86,Récession,Allocation de 1775790.86$ à Environnement en raison du contexte récession.
Entité_9,2022,Environnement,1665757.23,Croissance,Allocation de 1665757.23$ à Environnement en raison du contexte croissance.
Entité_3,2020,Administration,2040705.63,Croissance,Allocation de 2040705.63$ à Administration en raison du contexte croissance.
Entité_7,2020,Sécurité,1890387.27,Récession,Allocation de 1890387.27$ à Sécurité en raison du contexte récession.
Entité_5,2021,Sécurité,2084227.19,Stable,Allocation de 2084227.19$ à Sécurité en raison du contexte stable.
Entité_8,2019,Recherche,2116906.65,Croissance,Allocation de 2116906.65$ à Recherche en raison du contexte croissance.
Entité_6,2020,Transport,3885511.97,Stable,Allocation de 3885511.97$ à Transport en raison du contexte stable.
Entité_4,2022,Recherche,2348526.31,Stable,Allocation de 2348526.31$ à Recherche en raison du contexte stable.
Entité_7,2022,Logement,2685979.95,Récession,Allocation de 2685979.95$ à Logement en raison du contexte récession.
Entité_5,2019,Santé,4828068.31,Récession,Allocation de 4828068.31$ à Santé en raison du contexte récession.
Entité_8,2020,Environnement,1543874.4,Croissance,Allocation de 1543874.4$ à Environnement en raison du contexte croissance.
Entité_2,2020,Numérique,1325308.89,Stable,Allocation de 1325308.89$ à Numérique en raison du contexte stable.
Entité_10,2021,Santé,5518066.94,Récession,Allocation de 5518066.94$ à Santé en raison du contexte récession.
Entité_5,2022,Administration,2523194.65,Stable,Allocation de 2523194.65$ à Administration en raison du contexte stable.
Entité_9,2021,Culture,1423151.14,Stable,Allocation de 1423151.14$ à Culture en raison du contexte stable.
Entité_3,2021,Santé,4794745.37,Stable,Allocation de 4794745.37$ à Santé en raison du contexte stable.
Entité_7,2019,Administration,2862353.96,Stable,Allocation de 2862353.96$ à Administration en raison du contexte stable.
Entité_10,2022,Éducation,4937791.4,Stable,Allocation de 4937791.4$ à Éducation en raison du contexte stable.
Entité_9,2019,Numérique,1175802.48,Croissance,Allocation de 1175802.48$ à Numérique en raison du contexte croissance.
Entité_2,2020,Numérique,1559655.56,Récession,Allocation de 1559655.56$ à Numérique en raison du contexte récession.
Entité_9,2021,Développement économique,4679953.81,Croissance,Allocation de 4679953.81$ à Développement économique en raison du contexte croissance.
Entité_6,2022,Administration,1815881.82,Récession,Allocation de 1815881.82$ à Administration en raison du contexte récession.
Entité_3,2022,Éducation,5385772.2,Stable,Allocation de 5385772.2$ à Éducation en raison du contexte stable.
Entité_8,2022,Numérique,1458019.88,Croissance,Allocation de 1458019.88$ à Numérique en raison du contexte croissance.
Entité_1,2023,Sécurité,2947423.65,Récession,Allocation de 2947423.65$ à Sécurité en raison du contexte récession.
Entité_4,2021,Santé,4575961.42,Stable,Allocation de 4575961.42$ à Santé en raison du contexte stable.
Entité_8,2023,Développement économique,3252601.28,Croissance,Allocation de 3252601.28$ à Développement économique en raison du contexte croissance.
Entité_1,2019,Transport,1784002.72,Récession,Allocation de 1784002.72$ à Transport en raison du contexte récession.
Entité_8,2021,Développement économique,3899835.74,Récession,Allocation de 3899835.74$ à Développement économique en raison du contexte récession.
Entité_3,2019,Éducation,4300201.0,Croissance,Allocation de 4300201.0$ à Éducation en raison du contexte croissance.
Entité_10,2021,Transport,2662203.8,Récession,Allocation de 2662203.8$ à Transport en raison du contexte récession.
Entité_4,2019,Administration,1967259.71,Récession,Allocation de 1967259.71$ à Administration en raison du contexte récession.
Entité_10,2020,Développement économique,2582145.29,Récession,Allocation de 2582145.29$ à Développement économique en raison du contexte récession.
Entité_10,2022,Santé,6198444.95,Stable,Allocation de 6198444.95$ à Santé en raison du contexte stable.
Entité_1,2023,Recherche,1623708.19,Récession,Allocation de 1623708.19$ à Recherche en raison du contexte récession.
Entité_8,2019,Numérique,1942571.76,Croissance,Allocation de 1942571.76$ à Numérique en raison du contexte croissance.
Entité_4,2021,Sécurité,1929759.48,Croissance,Allocation de 1929759.48$ à Sécurité en raison du contexte croissance.
Entité_2,2022,Transport,2544228.7,Récession,Allocation de 2544228.7$ à Transport en raison du contexte récession.
Entité_2,2021,Recherche,1651567.28,Croissance,Allocation de 1651567.28$ à Recherche en raison du contexte croissance.
Entité_8,2019,Numérique,861129.37,Croissance,Allocation de 861129.37$ à Numérique en raison du contexte croissance.
Entité_7,2023,Recherche,1973617.88,Récession,Allocation de 1973617.88$ à Recherche en raison du contexte récession.
Entité_2,2021,Transport,2748060.18,Croissance,Allocation de 2748060.18$ à Transport en raison du contexte croissance.
Entité_10,2019,Loisirs,981000.45,Stable,Allocation de 981000.45$ à Loisirs en raison du contexte stable.
Entité_7,2019,Développement économique,3307676.75,Récession,Allocation de 3307676.75$ à Développement économique en raison du contexte récession.
Entité_2,2022,Sécurité,2553776.84,Stable,Allocation de 2553776.84$ à Sécurité en raison du contexte stable.
Entité_3,2022,Logement,2878727.87,Croissance,Allocation de 2878727.87$ à Logement en raison du contexte croissance.
Entité_8,2019,Numérique,1206863.23,Récession,Allocation de 1206863.23$ à Numérique en raison du contexte récession.
Entité_3,2022,Loisirs,1052837.21,Récession,Allocation de 1052837.21$ à Loisirs en raison du contexte récession.
Entité_8,2022,Éducation,4761834.77,Stable,Allocation de 4761834.77$ à Éducation en raison du contexte stable.
Entité_7,2020,Santé,7946212.83,Croissance,Allocation de 7946212.83$ à Santé en raison du contexte croissance.
Entité_9,2023,Recherche,1652596.11,Croissance,Allocation de 1652596.11$ à Recherche en raison du contexte croissance.
Entité_3,2021,Logement,2538308.05,Stable,Allocation de 2538308.05$ à Logement en raison du contexte stable.
Entité_4,2022,Loisirs,1050993.44,Stable,Allocation de 1050993.44$ à Loisirs en raison du contexte stable.
Entité_4,2020,Recherche,1244326.39,Récession,Allocation de 1244326.39$ à Recherche en raison du contexte récession.
Entité_6,2022,Développement économique,4421860.49,Récession,Allocation de 4421860.49$ à Développement économique en raison du contexte récession.
Entité_4,2021,Sécurité,2175721.1,Récession,Allocation de 2175721.1$ à Sécurité en raison du contexte récession.
Entité_8,2020,Transport,2467073.55,Récession,Allocation de 2467073.55$ à Transport en raison du contexte récession.
Entité_7,2023,Recherche,1309305.72,Récession,Allocation de 1309305.72$ à Recherche en raison du contexte récession.
Entité_4,2023,Éducation,3462008.42,Croissance,Allocation de 3462008.42$ à Éducation en raison du contexte croissance.
Entité_2,2022,Culture,543036.09,Stable,Allocation de 543036.09$ à Culture en raison du contexte stable.
Entité_8,2019,Sécurité,1804184.22,Récession,Allocation de 1804184.22$ à Sécurité en raison du contexte récession.
Entité_5,2023,Loisirs,899609.01,Stable,Allocation de 899609.01$ à Loisirs en raison du contexte stable.
Entité_3,2023,Santé,4523699.36,Croissance,Allocation de 4523699.36$ à Santé en raison du contexte croissance.
Entité_9,2021,Recherche,2299792.57,Récession,Allocation de 2299792.57$ à Recherche en raison du contexte récession.
Entité_7,2019,Numérique,1598387.42,Stable,Allocation de 1598387.42$ à Numérique en raison du contexte stable.
Entité_9,2019,Administration,2510257.79,Croissance,Allocation de 2510257.79$ à Administration en raison du contexte croissance.
Entité_5,2022,Éducation,4184512.73,Croissance,Allocation de 4184512.73$ à Éducation en raison du contexte croissance.
Entité_9,2021,Logement,1337660.36,Stable,Allocation de 1337660.36$ à Logement en raison du contexte stable.
Entité_3,2022,Sécurité,1718521.0,Stable,Allocation de 1718521.0$ à Sécurité en raison du contexte stable.
Entité_9,2022,Culture,971592.29,Récession,Allocation de 971592.29$ à Culture en raison du contexte récession.
Entité_6,2022,Transport,2463679.41,Récession,Allocation de 2463679.41$ à Transport en raison du contexte récession.
Entité_9,2021,Santé,4860494.52,Croissance,Allocation de 4860494.52$ à Santé en raison du contexte croissance.
Entité_5,2022,Loisirs,1057610.79,Croissance,Allocation de 1057610.79$ à Loisirs en raison du contexte croissance.
Entité_1,2022,Administration,1341689.39,Récession,Allocation de 1341689.39$ à Administration en raison du contexte récession.
Entité_7,2022,Éducation,5449353.64,Croissance,Allocation de 5449353.64$ à Éducation en raison du contexte croissance.
Entité_1,2022,Administration,2353890.57,Croissance,Allocation de 2353890.57$ à Administration en raison du contexte croissance.
Entité_1,2020,Éducation,4214573.45,Stable,Allocation de 4214573.45$ à Éducation en raison du contexte stable.
Entité_3,2021,Administration,1714553.38,Stable,Allocation de 1714553.38$ à Administration en raison du contexte stable.
Entité_9,2019,Loisirs,660167.94,Croissance,Allocation de 660167.94$ à Loisirs en raison du contexte croissance.
Entité_1,2020,Transport,2024269.37,Stable,Allocation de 2024269.37$ à Transport en raison du contexte stable.
Entité_5,2022,Éducation,5373412.38,Croissance,Allocation de 5373412.38$ à Éducation en raison du contexte croissance.
Entité_3,2020,Développement économique,4576328.09,Croissance,Allocation de 4576328.09$ à Développement économique en raison du contexte croissance.
Entité_8,2023,Transport,2156229.22,Récession,Allocation de 2156229.22$ à Transport en raison du contexte récession.
Entité_6,2021,Santé,4447372.01,Croissance,Allocation de 4447372.01$ à Santé en raison du contexte croissance.
Entité_4,2021,Recherche,1955932.12,Croissance,Allocation de 1955932.12$ à Recherche en raison du contexte croissance.
Entité_6,2022,Logement,2350245.43,Stable,Allocation de 2350245.43$ à Logement en raison du contexte stable.
Entité_2,2023,Éducation,2465060.19,Stable,Allocation de 2465060.19$ à Éducation en raison du contexte stable.
Entité_5,2019,Éducation,3473781.79,Stable,Allocation de 3473781.79$ à Éducation en raison du contexte stable.
Entité_7,2020,Développement économique,4865724.01,Récession,Allocation de 4865724.01$ à Développement économique en raison du contexte récession.
Entité_5,2020,Recherche,1587607.71,Récession,Allocation de 1587607.71$ à Recherche en raison du contexte récession.
Entité_6,2023,Éducation,3869226.13,Croissance,Allocation de 3869226.13$ à Éducation en raison du contexte croissance.
Entité_9,2021,Administration,1541929.03,Croissance,Allocation de 1541929.03$ à Administration en raison du contexte croissance.
Entité_6,2021,Numérique,1341063.12,Récession,Allocation de 1341063.12$ à Numérique en raison du contexte récession.
Entité_10,2020,Administration,2046060.72,Stable,Allocation de 2046060.72$ à Administration en raison du contexte stable.
Entité_8,2019,Numérique,1021915.26,Récession,Allocation de 1021915.26$ à Numérique en raison du contexte récession.
Entité_8,2021,Numérique,886882.71,Récession,Allocation de 886882.71$ à Numérique en raison du contexte récession.
Entité_5,2023,Recherche,2305635.61,Croissance,Allocation de 2305635.61$ à Recherche en raison du contexte croissance.
Entité_6,2019,Recherche,1222004.37,Récession,Allocation de 1222004.37$ à Recherche en raison du contexte récession.
Entité_6,2021,Logement,2751907.85,Stable,Allocation de 2751907.85$ à Logement en raison du contexte stable.
Entité_3,2021,Éducation,2276896.6,Stable,Allocation de 2276896.6$ à Éducation en raison du contexte stable.
Entité_6,2022,Loisirs,913153.87,Croissance,Allocation de 913153.87$ à Loisirs en raison du contexte croissance.
Entité_10,2022,Numérique,1432871.73,Récession,Allocation de 1432871.73$ à Numérique en raison du contexte récession.
Entité_6,2021,Sécurité,2437913.48,Croissance,Allocation de 2437913.48$ à Sécurité en raison du contexte croissance.
Entité_1,2022,Développement économique,3387154.07,Récession,Allocation de 3387154.07$ à Développement économique en raison du contexte récession.
Entité_4,2023,Administration,2633601.44,Récession,Allocation de 2633601.44$ à Administration en raison du contexte récession.
Entité_7,2021,Transport,4384675.02,Croissance,Allocation de 4384675.02$ à Transport en raison du contexte croissance.
Entité_3,2020,Recherche,1684215.67,Croissance,Allocation de 1684215.67$ à Recherche en raison du contexte croissance.
Entité_10,2020,Numérique,1091758.79,Stable,Allocation de 1091758.79$ à Numérique en raison du contexte stable.
Entité_9,2021,Loisirs,823868.36,Récession,Allocation de 823868.36$ à Loisirs en raison du contexte récession.
Entité_4,2023,Environnement,1356695.96,Stable,Allocation de 1356695.96$ à Environnement en raison du contexte stable.
Entité_3,2019,Éducation,3500903.84,Croissance,Allocation de 3500903.84$ à Éducation en raison du contexte croissance.
Entité_6,2020,Éducation,3570609.17,Croissance,Allocation de 3570609.17$ à Éducation en raison du contexte croissance.
Entité_1,2022,Administration,2686302.4,Stable,Allocation de 2686302.4$ à Administration en raison du contexte stable.
Entité_1,2021,Sécurité,2308752.8,Récession,Allocation de 2308752.8$ à Sécurité en raison du contexte récession.
Entité_2,2022,Recherche,1626859.39,Récession,Allocation de 1626859.39$ à Recherche en raison du contexte récession.
Entité_8,2022,Culture,508974.99,Croissance,Allocation de 508974.99$ à Culture en raison du contexte croissance.
Entité_6,2019,Éducation,2764428.41,Stable,Allocation de 2764428.41$ à Éducation en raison du contexte stable.
Entité_4,2020,Développement économique,3852400.36,Stable,Allocation de 3852400.36$ à Développement économique en raison du contexte stable.
Entité_7,2022,Recherche,1036239.86,Récession,Allocation de 1036239.86$ à Recherche en raison du contexte récession.
Entité_10,2023,Recherche,1905477.67,Récession,Allocation de 1905477.67$ à Recherche en raison du contexte récession.
Entité_9,2021,Loisirs,629509.8,Récession,Allocation de 629509.8$ à Loisirs en raison du contexte récession.
Entité_1,2021,Environnement,1527541.73,Stable,Allocation de 1527541.73$ à Environnement en raison du contexte stable.
Entité_3,2022,Sécurité,2025542.52,Stable,Allocation de 2025542.52$ à Sécurité en raison du contexte stable.
Entité_6,2020,Transport,3072353.96,Stable,Allocation de 3072353.96$ à Transport en raison du contexte stable.
Entité_5,2019,Transport,2763346.89,Croissance,Allocation de 2763346.89$ à Transport en raison du contexte croissance.
Entité_2,2022,Sécurité,1829085.75,Stable,Allocation de 1829085.75$ à Sécurité en raison du contexte stable.
Entité_5,2019,Culture,855841.92,Récession,Allocation de 855841.92$ à Culture en raison du contexte récession.
Entité_7,2023,Numérique,1316134.16,Croissance,Allocation de 1316134.16$ à Numérique en raison du contexte croissance.
Entité_3,2023,Numérique,1393246.24,Croissance,Allocation de 1393246.24$ à Numérique en raison du contexte croissance.
Entité_9,2020,Transport,2268616.49,Stable,Allocation de 2268616.49$ à Transport en raison du contexte stable.
Entité_5,2020,Transport,2969022.92,Stable,Allocation de 2969022.92$ à Transport en raison du contexte stable.
Entité_5,2019,Environnement,1558974.62,Croissance,Allocation de 1558974.62$ à Environnement en raison du contexte croissance.
Entité_9,2020,Éducation,4147016.91,Récession,Allocation de 4147016.91$ à Éducation en raison du contexte récession.
Entité_7,2020,Transport,3100061.77,Récession,Allocation de 3100061.77$ à Transport en raison du contexte récession.
Entité_1,2020,Développement économique,3218575.63,Récession,Allocation de 3218575.63$ à Développement économique en raison du contexte récession.
Entité_7,2020,Logement,2639515.21,Croissance,Allocation de 2639515.21$ à Logement en raison du contexte croissance.
Entité_3,2023,Environnement,1685408.61,Stable,Allocation de 1685408.61$ à Environnement en raison du contexte stable.
Entité_5,2023,Transport,3084621.99,Stable,Allocation de 3084621.99$ à Transport en raison du contexte stable.
Entité_8,2019,Numérique,1321425.56,Stable,Allocation de 1321425.56$ à Numérique en raison du contexte stable.
Entité_10,2019,Recherche,2156527.23,Stable,Allocation de 2156527.23$ à Recherche en raison du contexte stable.
Entité_3,2019,Environnement,944717.89,Stable,Allocation de 944717.89$ à Environnement en raison du contexte stable.
Entité_1,2023,Développement économique,4160424.69,Croissance,Allocation de 4160424.69$ à Développement économique en raison du contexte croissance.
Entité_6,2019,Administration,2136971.11,Récession,Allocation de 2136971.11$ à Administration en raison du contexte récession.
Entité_1,2020,Sécurité,1555349.87,Stable,Allocation de 1555349.87$ à Sécurité en raison du contexte stable.
Entité_4,2023,Recherche,2088889.52,Récession,Allocation de 2088889.52$ à Recherche en raison du contexte récession.
Entité_3,2021,Recherche,1656604.47,Croissance,Allocation de 1656604.47$ à Recherche en raison du contexte croissance.
Entité_1,2020,Logement,2369016.78,Croissance,Allocation de 2369016.78$ à Logement en raison du contexte croissance.
Entité_2,2020,Sécurité,1796928.09,Récession,Allocation de 1796928.09$ à Sécurité en raison du contexte récession.
Entité_6,2021,Culture,1060479.77,Croissance,Allocation de 1060479.77$ à Culture en raison du contexte croissance.
Entité_4,2022,Sécurité,1685858.74,Récession,Allocation de 1685858.74$ à Sécurité en raison du contexte récession.
Entité_3,2023,Éducation,4721179.7,Croissance,Allocation de 4721179.7$ à Éducation en raison du contexte croissance.
Entité_2,2022,Sécurité,1944454.97,Croissance,Allocation de 1944454.97$ à Sécurité en raison du contexte croissance.
Entité_7,2019,Santé,4635797.52,Stable,Allocation de 4635797.52$ à Santé en raison du contexte stable.
Entité_5,2020,Recherche,2071035.24,Croissance,Allocation de 2071035.24$ à Recherche en raison du contexte croissance.
Entité_2,2020,Transport,2808265.94,Croissance,Allocation de 2808265.94$ à Transport en raison du contexte croissance.
Entité_1,2022,Numérique,1427562.44,Croissance,Allocation de 1427562.44$ à Numérique en raison du contexte croissance.
Entité_6,2022,Environnement,1793877.89,Récession,Allocation de 1793877.89$ à Environnement en raison du contexte récession.
Entité_2,2023,Santé,3665196.16,Stable,Allocation de 3665196.16$ à Santé en raison du contexte stable.
Entité_4,2019,Environnement,1832778.06,Stable,Allocation de 1832778.06$ à Environnement en raison du contexte stable.
Entité_3,2021,Numérique,849111.37,Stable,Allocation de 849111.37$ à Numérique en raison du contexte stable.
Entité_10,2021,Recherche,2221768.99,Récession,Allocation de 2221768.99$ à Recherche en raison du contexte récession.
Entité_9,2019,Numérique,1686805.73,Croissance,Allocation de 1686805.73$ à Numérique en raison du contexte croissance.
Entité_5,2019,Développement économique,4112384.11,Récession,Allocation de 4112384.11$ à Développement économique en raison du contexte récession.
Entité_2,2020,Administration,1137207.74,Récession,Allocation de 1137207.74$ à Administration en raison du contexte récession.
Entité_7,2022,Développement économique,4244496.0,Croissance,Allocation de 4244496.0$ à Développement économique en raison du contexte croissance.
Entité_7,2019,Éducation,5796903.17,Stable,Allocation de 5796903.17$ à Éducation en raison du contexte stable.
Entité_4,2019,Administration,1878787.34,Stable,Allocation de 1878787.34$ à Administration en raison du contexte stable.
Entité_1,2023,Logement,2482648.34,Récession,Allocation de 2482648.34$ à Logement en raison du contexte récession.
Entité_5,2021,Recherche,1372144.78,Croissance,Allocation de 1372144.78$ à Recherche en raison du contexte croissance.
Entité_5,2023,Éducation,4249663.54,Stable,Allocation de 4249663.54$ à Éducation en raison du contexte stable.
Entité_2,2023,Recherche,2256903.79,Stable,Allocation de 2256903.79$ à Recherche en raison du contexte stable.
Entité_8,2020,Développement économique,3988415.99,Stable,Allocation de 3988415.99$ à Développement économique en raison du contexte stable.
Entité_3,2022,Logement,4070983.49,Croissance,Allocation de 4070983.49$ à Logement en raison du contexte croissance.
Entité_9,2019,Loisirs,805284.33,Récession,Allocation de 805284.33$ à Loisirs en raison du contexte récession.
Entité_2,2019,Éducation,2695461.31,Récession,Allocation de 2695461.31$ à Éducation en raison du contexte récession.
Entité_1,2023,Environnement,1551291.29,Croissance,Allocation de 1551291.29$ à Environnement en raison du contexte croissance.
Entité_6,2023,Culture,516709.65,Stable,Allocation de 516709.65$ à Culture en raison du contexte stable.
Entité_7,2020,Transport,2680137.65,Croissance,Allocation de 2680137.65$ à Transport en raison du contexte croissance.
Entité_2,2019,Développement économique,4637067.44,Récession,Allocation de 4637067.44$ à Développement économique en raison du contexte récession.
Entité_7,2023,Loisirs,852021.38,Stable,Allocation de 852021.38$ à Loisirs en raison du contexte stable.
Entité_8,2020,Transport,3107650.09,Croissance,Allocation de 3107650.09$ à Transport en raison du contexte croissance.
Entité_3,2020,Numérique,1636987.29,Récession,Allocation de 1636987.29$ à Numérique en raison du contexte récession.
Entité_7,2021,Loisirs,756704.02,Récession,Allocation de 756704.02$ à Loisirs en raison du contexte récession.
Entité_6,2023,Recherche,2254255.35,Stable,Allocation de 2254255.35$ à Recherche en raison du contexte stable.
Entité_8,2023,Éducation,4103445.58,Stable,Allocation de 4103445.58$ à Éducation en raison du contexte stable.
Entité_7,2021,Transport,3228028.48,Croissance,Allocation de 3228028.48$ à Transport en raison du contexte croissance.
Entité_4,2019,Transport,2269617.09,Croissance,Allocation de 2269617.09$ à Transport en raison du contexte croissance.
Entité_4,2021,Santé,4517953.21,Récession,Allocation de 4517953.21$ à Santé en raison du contexte récession.
Entité_5,2019,Transport,2161489.06,Récession,Allocation de 2161489.06$ à Transport en raison du contexte récession.
Entité_8,2022,Développement économique,3433328.45,Récession,Allocation de 3433328.45$ à Développement économique en raison du contexte récession.
Entité_9,2020,Éducation,4312321.88,Croissance,Allocation de 4312321.88$ à Éducation en raison du contexte croissance.
Entité_9,2022,Administration,1555984.76,Croissance,Allocation de 1555984.76$ à Administration en raison du contexte croissance.
Entité_6,2019,Développement économique,4934425.25,Croissance,Allocation de 4934425.25$ à Développement économique en raison du contexte croissance.
Entité_6,2022,Environnement,1583431.81,Stable,Allocation de 1583431.81$ à Environnement en raison du contexte stable.
Entité_8,2022,Transport,3034677.35,Stable,Allocation de 3034677.35$ à Transport en raison du contexte stable.
Entité_5,2022,Numérique,1384717.86,Stable,Allocation de 1384717.86$ à Numérique en raison du contexte stable.
Entité_8,2020,Logement,2085535.96,Croissance,Allocation de 2085535.96$ à Logement en raison du contexte croissance.
Entité_7,2019,Transport,3098086.49,Croissance,Allocation de 3098086.49$ à Transport en raison du contexte croissance.
Entité_3,2021,Loisirs,685301.4,Récession,Allocation de 685301.4$ à Loisirs en raison du contexte récession.
Entité_3,2022,Recherche,2361124.77,Croissance,Allocation de 2361124.77$ à Recherche en raison du contexte croissance.
Entité_2,2019,Transport,2364816.39,Stable,Allocation de 2364816.39$ à Transport en raison du contexte stable.
Entité_1,2023,Recherche,1822739.57,Croissance,Allocation de 1822739.57$ à Recherche en raison du contexte croissance.
Entité_9,2020,Environnement,1598794.74,Croissance,Allocation de 1598794.74$ à Environnement en raison du contexte croissance.
Entité_6,2021,Logement,2697412.87,Stable,Allocation de 2697412.87$ à Logement en raison du contexte stable.
Entité_4,2022,Sécurité,1767505.93,Croissance,Allocation de 1767505.93$ à Sécurité en raison du contexte croissance.
Entité_7,2022,Environnement,1231347.18,Croissance,Allocation de 1231347.18$ à Environnement en raison du contexte croissance.
Entité_2,2023,Recherche,1595953.74,Stable,Allocation de 1595953.74$ à Recherche en raison du contexte stable.
Entité_2,2022,Environnement,1658497.63,Croissance,Allocation de 1658497.63$ à Environnement en raison du contexte croissance.
Entité_7,2021,Éducation,3884923.38,Croissance,Allocation de 3884923.38$ à Éducation en raison du contexte croissance.
Entité_9,2021,Éducation,4636967.05,Stable,Allocation de 4636967.05$ à Éducation en raison du contexte stable.
Entité_8,2021,Environnement,1643101.12,Stable,Allocation de 1643101.12$ à Environnement en raison du contexte stable.
Entité_2,2021,Loisirs,435693.97,Stable,Allocation de 435693.97$ à Loisirs en raison du contexte stable.
Entité_5,2020,Numérique,1259399.47,Croissance,Allocation de 1259399.47$ à Numérique en raison du contexte croissance.
